id,age_rating_PEGI
1599340,18
1245620,16
1142710,16
1332010,12
534380,18
920210,7
1449850,7
1446780,12
1361210,18
1811260,3
1938090,18
1604030,12
1286680,16
975370,NA
529340,12
1462040,16
648800,NA
1817070,16
1687950,16
1904540,3
1583230,16
1692250,3
1593500,18
1313140,12
1255630,16
1703340,12
1544020,18
1498570,12
824550,12
1029690,16
1253920,NA
1708520,3
261550,16
1846380,12
1817190,16
1824220,18
1361510,12
1818750,12
1919590,3
962130,12
1657630,NA
368260,12
1044720,NA
1475810,12
2208920,18
1608070,16
1237320,7
1611910,18
1621690,7
1496790,16
949230,3
1888160,12
1774580,12
2195250,3
1272080,18
1326470,NA
1364780,12
1282100,18
990080,12
1086940,18
2050650,18
1716740,18
1971870,18
1669000,16
2399830,16
1260320,7
668580,18
2252570,3
671860,NA
1868140,12
1448440,16
1304930,NA
2073850,NA
1693980,18
1562430,12
2338770,3
1676840,NA
2440510,3
2322560,NA
1501750,18
2186680,NA
2108330,3
1888930,18
1971650,12
1171690,12
1527950,NA
1938010,12
1817230,12
1677280,18
1627720,16
1144200,18
954850,NA
1268750,16
1548850,NA
2344520,18
1997040,7
2369390,18
1433140,NA
1940340,12
1337520,7
2933620,18
2183900,18
1643320,18
2054970,18
1623730,NA
1790600,12
2694490,NA
2358720,16
553850,18
2669320,3
2878980,3
1363080,NA
1145350,12
881020,12
1203620,NA
899770,NA
2300320,3
2479810,NA
2074920,12
2767030,NA
1778820,16
1845910,18
2215430,18
2429640,16
2688950,3
2161700,16
2139460,NA
1928980,NA
1326470,NA
2321470,NA
2420110,16
1934680,12
1575940,NA
1371980,NA
2552430,12
2881650,NA
1604030,12
2406770,NA
2701660,12
2679460,16
2072450,18
1601580,16
2677660,16
2515020,18
1672500,7
2322010,18
2567870,NA
526870,NA
2537590,3
2124490,18
