id,publisher
1599340,Amazon Game Studios
1245620,"FromSoftware, Inc."
1142710,SEGA
1332010,Annapurna Interactive
534380,Techland
920210,Warner Bros. Games
1449850,KONAMI
1446780,"CAPCOM Co., Ltd."
1361210,Fatshark
1811260,Electronic Arts
1938090,Activision
1604030,Stunlock Studios
1286680,2K
975370,Kitfox Games
529340,Paradox Interactive
1462040,Square Enix
648800,Axolot Games
1817070,PlayStation Publishing LLC
1687950,SEGA
1904540,SEGA
1583230,"Squanch Games, Inc."
1692250,Electronic Arts
1593500,PlayStation Publishing LLC
1313140,Devolver Digital
1255630,2K
1703340,Crows Crows Crows
1544020,"KRAFTON, Inc."
1498570,SNK CORPORATION
824550,Bandai Namco Entertainment
1029690,Rebellion
1253920,Cellar Door Games
1708520,Frontier Developments
261550,TaleWorlds Entertainment
1846380,Electronic Arts
1817190,PlayStation Publishing LLC
1824220,Tripwire Presents
1361510,Dotemu
1818750,Warner Bros. Games
1919590,2K
962130,Xbox Game Studios
1657630,Monomi Park
368260,2K
1044720,Crate Entertainment
1475810,Bethesda Softworks
2208920,Ubisoft
1608070,Square Enix
1237320,SEGA
1611910,Frontier Foundry
1621690,Fireshine Games
1496790,Warner Bros. Games
949230,Paradox Interactive
1888160,"FromSoftware, Inc."
1774580,Electronic Arts
2195250,Electronic Arts
1272080,Deep Silver
1326470,Newnight
1364780,"CAPCOM Co., Ltd."
1282100,Arc Games
990080,Warner Bros. Games
1086940,Larian Studios
2050650,"CAPCOM Co., Ltd."
1716740,Bethesda Softworks
1971870,Warner Bros. Games
1669000,Paradox Interactive
2399830,Studio Wildcard
1260320,Source Technology
668580,Focus Entertainment
2252570,SEGA
671860,SgtOkiDoki
1868140,MINTROCKET
1448440,"KOEI TECMO GAMES CO., LTD."
1304930,Red Barrels
2073850,Embark Studios
1693980,Electronic Arts
1562430,Team17
2338770,2K
1676840,Curve Games
2440510,Xbox Game Studios
2322560,intiny
1501750,CI Games
2186680,Owlcat Games
2108330,Electronic Arts
1888930,PlayStation Publishing LLC
1971650,Square Enix
1171690,Airship Syndicate
1527950,Shiro Games
1938010,Electronic Arts
1817230,"KRAFTON, Inc."
1677280,Relic Entertainment
1627720,NEOWIZ
1144200,VOID Interactive
954850,Private Division
1268750,Offworld
1548850,Victura
2344520,"Blizzard Entertainment, Inc."
1997040,"Second Dinner Studios, Inc."
2369390,Ubisoft
1433140,Gun Interactive
1940340,Red Hook Studios
1337520,Gearbox Publishing
2933620,Activision
2183900,Focus Entertainment
1643320,GSC Game World (worldwide)
2054970,"CAPCOM Co., Ltd."
1623730,Pocketpair
1790600,Bandai Namco Entertainment
2694490,Grinding Gear Games
2358720,Game Science
553850,PlayStation Publishing LLC
2669320,Electronic Arts
2878980,2K
1363080,Hooded Horse
1145350,Supergiant Games
881020,"Cygames, Inc."
1203620,Keen Games GmbH
899770,Eleventh Hour Games
2300320,GIANTS Software
2479810,"MADFINGER Games, a.s."
2074920,NEXON
2767030,NetEase Games
1778820,Bandai Namco Entertainment
1845910,Electronic Arts
2215430,PlayStation Publishing LLC
2429640,Amazon Games
2688950,Frontier Developments
2161700,SEGA
2139460,Starry Studio
1928980,Inflexion Games
1326470,Newnight
2321470,Ghost Ship Publishing
2420110,PlayStation Publishing LLC
1934680,Xbox Game Studios
1575940,Stardock Entertainment
1371980,Moon Studios GmbH
2552430,Square Enix
2881650,Landfall
1604030,Stunlock Studios
2406770,Reissad Studio
2701660,Square Enix
2679460,SEGA
2072450,SEGA
1601580,11 bit studios
2677660,Bethesda Softworks
2515020,Square Enix
1672500,Bandai Namco Entertainment Inc.
2322010,PlayStation Publishing LLC
2567870,Anegar Games
526870,Coffee Stain Publishing
2537590,Xbox Game Studios
2124490,KONAMI
