id,title,publisher,month_published,year_published,top_sell_category,price_USD,genre,age_rating_PEGI,languages_interface,languages_spoken,recommended_graphics,user_ratings_positive,user_ratings_negative
1599340,Lost Ark,Amazon Game Studios,02,2022,Platinum,0,Action|Adventure|Massively Multiplayer|RPG|Free To Play,18,English|Spanish - Spain,English|Spanish - Spain,Nvidia Geforce GTX 1660 Super|AMD Radeon RX 6600,108155,41295
1245620,ELDEN RING,"FromSoftware, Inc.",02,2022,Platinum,60,Action|RPG,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Thai|Traditional Chinese|Arabic,English,NVIDIA GEFORCE GTX 1070|AMD RADEON RX VEGA 56,261763,44045
1142710,Total War: WARHAMMER III,SEGA,02,2022,Platinum,60,Action|Strategy,16,English|French|Italian|German|Spanish - Spain|Czech|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Turkish,English,Nvidia GeForce GTX 1660 Ti|AMD RX 5600 XT|Intel Arc A750,17070,10952
1332010,Stray,Annapurna Interactive,07,2022,Platinum,30,Adventure|Indie,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Turkish|Dutch|Portuguese - Portugal,NA,NVIDIA GeForce GTX 780|AMD Radeon R9,68523,1783
534380,Dying Light 2 Stay Human: Reloaded Edition,Techland,02,2022,Platinum,60,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Arabic|Czech|Japanese|Portuguese - Portugal|Simplified Chinese|Traditional Chinese|Turkish,English|French|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Japanese|Simplified Chinese,NVIDIA GeForce RTX 2060|AMD RX Vega 56,54306,14325
920210,LEGO® Star Wars™: The Skywalker Saga,Warner Bros. Games,04,2022,Platinum,50,Action|Adventure,7,English|French|Italian|German|Spanish - Spain|Arabic|Danish|Dutch|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Traditional Chinese|Japanese,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Spanish - Latin America|Japanese,GeForce GTX 780|Radeon R9,19579,1479
1449850,Yu-Gi-Oh! Master Duel,KONAMI,01,2022,Platinum,0,Simulation|Strategy|Free To Play,7,English|French|Italian|German|Spanish - Latin America|Portuguese - Brazil|Japanese|Korean|Simplified Chinese|Traditional Chinese,NA,NVIDIA GeForce RTX 3060,24478,7311
1446780,MONSTER HUNTER RISE,"CAPCOM Co., Ltd.",01,2022,Platinum,40,Action,12,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Spanish - Latin America,English|Japanese,NVIDIA GeForce GTX 1060|AMD Radeon RX 570,13369,2101
1361210,"Warhammer 40,000: Darktide",Fatshark,11,2022,Platinum,40,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Japanese|Korean|Traditional Chinese,English,NVIDIA GeForce RTX 3060|AMD Radeon RX 5700 XT,29104,18217
1811260,EA SPORTS™ FIFA 23,Electronic Arts,09,2022,Platinum,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Arabic|Czech|Danish|Dutch|Japanese|Korean|Norwegian|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Swedish|Traditional Chinese|Turkish,English|French|Italian|German|Spanish - Spain|Arabic|Dutch|Japanese|Polish|Portuguese - Brazil|Russian|Simplified Chinese,NVIDIA GeForce GTX 1660|AMD Radeon RX 5600 XT,7585,10988
