id;year_published;top_sell_category
1599340;2022;Platinum
1245620;2022;Platinum
1142710;2022;Platinum
1332010;2022;Platinum
534380;2022;Platinum
920210;2022;Platinum
1449850;2022;Platinum
1446780;2022;Platinum
1361210;2022;Platinum
1811260;2022;Platinum
1938090;2022;Platinum
1604030;2022;Platinum
1286680;2022;Gold
975370;2022;Gold
529340;2022;Gold
1462040;2022;Gold
648800;2022;Gold
1817070;2022;Gold
1687950;2022;Gold
1904540;2022;Gold
1583230;2022;Gold
1692250;2022;Gold
1593500;2022;Gold
1313140;2022;Gold
1255630;2022;Silver
1703340;2022;Silver
1544020;2022;Silver
1498570;2022;Silver
824550;2022;Silver
1029690;2022;Silver
1253920;2022;Silver
1708520;2022;Silver
261550;2022;Silver
1846380;2022;Silver
1817190;2022;Silver
1824220;2022;Silver
1361510;2022;Silver
1818750;2022;Silver
1919590;2022;Silver
962130;2022;Silver
1657630;2022;Silver
368260;2022;Silver
1044720;2022;Silver
1475810;2022;Silver
2208920;2022;Silver
1608070;2022;Silver
1237320;2022;Silver
1611910;2022;Silver
1621690;2022;Silver
1496790;2022;Silver
949230;2023;Platinum
1888160;2023;Platinum
1774580;2023;Platinum
2195250;2023;Platinum
1272080;2023;Platinum
1326470;2023;Platinum
1364780;2023;Platinum
1282100;2023;Platinum
990080;2023;Platinum
1086940;2023;Platinum
2050650;2023;Platinum
1716740;2023;Platinum
1971870;2023;Gold
1669000;2023;Gold
2399830;2023;Gold
1260320;2023;Gold
668580;2023;Gold
2252570;2023;Gold
671860;2023;Gold
1868140;2023;Gold
1448440;2023;Gold
1304930;2023;Gold
2073850;2023;Gold
1693980;2023;Gold
1562430;2023;Silver
2338770;2023;Silver
1676840;2023;Silver
2440510;2023;Silver
2322560;2023;Silver
1501750;2023;Silver
2186680;2023;Silver
2108330;2023;Silver
1888930;2023;Silver
1971650;2023;Silver
1171690;2023;Silver
1527950;2023;Silver
1938010;2023;Silver
1817230;2023;Silver
1677280;2023;Silver
1627720;2023;Silver
1144200;2023;Silver
954850;2023;Silver
1268750;2023;Silver
1548850;2023;Silver
2344520;2023;Silver
1997040;2023;Silver
2369390;2023;Silver
1433140;2023;Silver
1940340;2023;Silver
1337520;2023;Silver
2933620;2024;Platinum
2183900;2024;Platinum
1643320;2024;Platinum
2054970;2024;Platinum
1623730;2024;Platinum
1790600;2024;Platinum
2694490;2024;Platinum
2358720;2024;Platinum
553850;2024;Platinum
2669320;2024;Platinum
2878980;2024;Platinum
1363080;2024;Platinum
1145350;2024;Gold
881020;2024;Gold
1203620;2024;Gold
899770;2024;Gold
2300320;2024;Gold
2479810;2024;Gold
2074920;2024;Gold
2767030;2024;Gold
1778820;2024;Gold
1845910;2024;Gold
2215430;2024;Gold
2429640;2024;Gold
2688950;2024;Silver
2161700;2024;Silver
2139460;2024;Silver
1928980;2024;Silver
1326470;2024;Silver
2321470;2024;Silver
2420110;2024;Silver
1934680;2024;Silver
1575940;2024;Silver
1371980;2024;Silver
2552430;2024;Silver
2881650;2024;Silver
1604030;2024;Silver
2406770;2024;Silver
2701660;2024;Silver
2679460;2024;Silver
2072450;2024;Silver
1601580;2024;Silver
2677660;2024;Silver
2515020;2024;Silver
1672500;2024;Silver
2322010;2024;Silver
2567870;2024;Silver
526870;2024;Silver
2537590;2024;Silver
2124490;2024;Silver
