id,price_USD
1938090,70
920210,50
1604030,35
1449850,0
1811260,NA
1245620,60
1599340,0
1142710,60
1332010,30
1361210,40
534380,60
1446780,40
1593500,50
529340,50
1687950,60
975370,NA
1462040,NA
648800,NA
1692250,NA
1817070,60
1286680,60
1583230,40
1904540,NA
1313140,25
368260,60
1621690,20
1846380,70
1496790,60
1708520,NA
1608070,50
1611910,45
1544020,60
1044720,35
1657630,30
1029690,50
1255630,NA
1237320,60
1919590,NA
1818750,NA
1475810,60
962130,40
1253920,25
824550,60
1498570,30
1361510,25
2208920,60
1817190,50
1824220,40
1703340,25
261550,50
1326470,30
1716740,70
1282100,50
1774580,70
1888160,60
2050650,40
1364780,40
2195250,NA
1086940,60
990080,60
949230,50
1272080,30
1971870,50
2399830,45
1448440,40
668580,60
1693980,60
1304930,40
1669000,50
1260320,20
671860,15
1868140,20
2252570,NA
2073850,0
1171690,25
2186680,50
1971650,60
954850,50
2338770,NA
1676840,0
1940340,40
2322560,10
2369390,60
1433140,20
1677280,60
2344520,50
1997040,0
1562430,25
1501750,30
1817230,30
1337520,15
1888930,60
1627720,60
1548850,40
2108330,NA
1144200,50
1268750,30
2440510,70
1938010,70
1527950,35
2933620,70
2183900,60
2054970,70
1623730,30
2358720,60
2694490,30
1790600,70
2878980,70
1643320,60
553850,40
1363080,40
2669320,70
1203620,30
2429640,0
2074920,0
2479810,40
881020,60
2215430,60
2767030,0
1778820,60
899770,35
1845910,60
1145350,30
2300320,30
2515020,50
1326470,30
1672500,60
2139460,0
1928980,30
2161700,60
2701660,60
2552430,50
2406770,34
2124490,70
2322010,60
2321470,13
2881650,8
1604030,35
1601580,45
1934680,30
2537590,70
2420110,60
2072450,70
2567870,5
2677660,70
2679460,70
1575940,50
2688950,50
1371980,40
526870,40
