id,year_published,top_sell_category,title,month_published,genre,languages_interface,languages_spoken,recommended_graphics,user_ratings_positive,user_ratings_negative,age_rating_PEGI,price_USD
1599340,2022,Platinum,Lost Ark,02,Action|Adventure|Massively Multiplayer|RPG|Free To Play,English|Spanish - Spain,English|Spanish - Spain,Nvidia Geforce GTX 1660 Super|AMD Radeon RX 6600,108155,41295,18,0
1245620,2022,Platinum,ELDEN RING,02,Action|RPG,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Thai|Traditional Chinese|Arabic,English,NVIDIA GEFORCE GTX 1070|AMD RADEON RX VEGA 56,261763,44045,NA,60
1142710,2022,Platinum,Total War: WARHAMMER III,02,Action|Strategy,English|French|Italian|German|Spanish - Spain|Czech|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Turkish,English,Nvidia GeForce GTX 1660 Ti|AMD RX 5600 XT|Intel Arc A750,17070,10952,16,60
1332010,2022,Platinum,Stray,07,Adventure|Indie,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Turkish|Dutch|Portuguese - Portugal,NA,NVIDIA GeForce GTX 780|AMD Radeon R9,68523,1783,12,30
534380,2022,Platinum,Dying Light 2 Stay Human: Reloaded Edition,02,Action|Adventure|RPG,English|French|Italian|German|Spanish - Spain|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Arabic|Czech|Japanese|Portuguese - Portugal|Simplified Chinese|Traditional Chinese|Turkish,English|French|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Japanese|Simplified Chinese,NVIDIA GeForce RTX 2060|AMD RX Vega 56,54306,14325,18,60
920210,2022,Platinum,LEGO® Star Wars™: The Skywalker Saga,04,Action|Adventure,English|French|Italian|German|Spanish - Spain|Arabic|Danish|Dutch|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|Traditional Chinese|Japanese,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Spanish - Latin America|Japanese,GeForce GTX 780|Radeon R9,19579,1479,7,50
1449850,2022,Platinum,Yu-Gi-Oh! Master Duel,01,Simulation|Strategy|Free To Play,English|French|Italian|German|Spanish - Latin America|Portuguese - Brazil|Japanese|Korean|Simplified Chinese|Traditional Chinese,NA,NVIDIA GeForce RTX 3060,24478,7311,7,0
1446780,2022,Platinum,MONSTER HUNTER RISE,01,Action,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Spanish - Latin America,English|Japanese,NVIDIA GeForce GTX 1060|AMD Radeon RX 570,13369,2101,12,40
1361210,2022,Platinum,"Warhammer 40,000: Darktide",11,Action|Adventure|RPG,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Japanese|Korean|Traditional Chinese,English,NVIDIA GeForce RTX 3060|AMD Radeon RX 5700 XT,29104,18217,NA,40
1811260,2022,Platinum,EA SPORTS™ FIFA 23,09,Simulation|Sports,English|French|Italian|German|Spanish - Spain|Arabic|Czech|Danish|Dutch|Japanese|Korean|Norwegian|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Swedish|Traditional Chinese|Turkish,English|French|Italian|German|Spanish - Spain|Arabic|Dutch|Japanese|Polish|Portuguese - Brazil|Russian|Simplified Chinese,NVIDIA GeForce GTX 1660|AMD Radeon RX 5600 XT,7585,10988,3,NA
